video_id,transcript,description_text,video_gen_description,keywords,embedding_confidence
cb31347c-3db4-43a0-aee2-e99e4f14bfd1," One key benefit of parkour is that it builds functional fitness, movements that enhance daily life and also help protect us from injury. This means training our bodies in a way that improves our ability to perform everyday activities. Whether it's bending over the tire shoe, squatting down to pick something up, simply getting up off the floor or climbing up to reach a high shelf. To show how some of these simple movements progressing parkour, let's add some obstacles.  An extension of the squat is a jump or drop to landing. Good landings are key for anyone who does sports, plays with their kids, hops out of a truck bed, or drops off of a rock while hiking. If you need to take a bigger drop, fall off your bike or trip over a curb. The roll is a key skill to know. Rolls allow you to absorb, impact over more time and distance, which may lead to less fall damage and better flow.  While everyone encounters hip-high barriers, most people walk around them. But what if you knew you could easily vault over? Vault's safe time, build confidence, and they look pretty cool. And lastly, the move that started my parkour journey, the climb up. How much are you to get up something head-high or taller? Maybe you need a scale of building to help someone or get over a gate wall or fence to escape danger.  Or more likely, you forgot your keys and have to climb up to an open window or balcony. Well, it's unlikely that we'll ever need to use these skills. Parkour teaches you to embrace challenge. The obstacle becomes the way.","Parkour isn’t just for athletes — it’s a life skill that benefits everyone, explains professional parkour athlete Taylor Lynn Carpenter. In her TED Talk, she demonstrates how parkour can help you move through daily life more easily — whether it’s climbing over a fence or grabbing something off a shelf — and how the sport provides a fun and effective way to maintain your functional fitness. “You get to reinvent your environment and move with more meaning,” she says. “So the next time you walk around your city or town, think of how you can move, play and rediscover the joy of overcoming obstacles.”","A parkour athlete demonstrates various movements and techniques. She performs a series of jumps and climbs, showcasing her agility and strength. The scene transitions between her speaking to an audience and executing parkour maneuvers in different environments, emphasizing the importance of physical ability in overcoming obstacles. The athlete highlights skills like getting up from the ground and climbing, illustrating practical applications of parkour in everyday situations.","['parkour', 'functional fitness', 'obstacles', 'jump landing', 'roll', 'vault', 'climb up', 'squat', 'injury prevention', 'get up floor', 'ted talk', 'taylor lynn carpenter', 'audience stage', 'urban environment', 'climbing fence']",high
8d2ee31e-4d8a-485b-bb2a-b85dc14b0bc4," It's time to admit that the playbook that guided businesses and CEOs for the last four years is broken. The CEO playbook says it's about shareholders. And there's so much sacrifice for it. It's factories, communities, jobs. But yet the CEO's payup goes up and up and up, and so many people are left behind. I'm here to tell you, no more. The new anti-CEO playbook is about community. If you're right,  with your people. You will be more innovative. You will have more passionate people working for you and the community that supports you. And that's what the anti-seal playbook is all about. This is the difference between profit and true wealth.","What do the best leaders focus on? Profit, money or shareholders may be the first to come to mind, but Chobani founder Hamdi Ulukaya believes it’s time to put people at the center of the corporate equation. In his TED Talk, he outlines his vision for the, “anti-CEO playbook” which highlights 3 key areas leaders should direct their attention.","A speaker passionately discusses the flaws in traditional business practices, emphasizing the need for change. He highlights the disparity in CEO compensation versus the struggles of many workers. The speaker advocates for a new approach centered on community and the importance of being aligned with one's team. He contrasts profit with true wealth, urging a shift in perspective towards more inclusive and supportive business practices.","['anti-ceo playbook', 'ceo playbook', 'shareholders', 'community', 'profit', 'true wealth', 'ceo pay', 'workers', 'jobs', 'factories', 'business practices', 'leadership', 'ted talk', 'hamdi ulukaya', 'chobani']",high
6138b843-ed18-4171-a726-69b163aa1fe9," Chopsticks are used in a huge portion of the world across much of Asia. About 1.5 billion people are covered in the top six sphere. Holding chopsticks is a little bit like holding a pencil except that you have two of them and you kind of move them together in a pinch of movement. Most of them are made out of wood. They're also made out of plastic, bamboo, jade, gold, silver. Different cultures have slightly different variations of chopsticks. Chinese chopsticks would tend to be long and round. Korean chopsticks which are flatter and often made of metal. And Japanese chopsticks tend to be  round and very, very pointy. Chinese culture has knives and has forks. It uses them in many cases for cooking. But in terms of like what moved into the dining room, it was the chopsticks. One of the things about Asian cooking is that it often comes in very small pieces. And I think part of that has to do with the fact that it's actually a lot more energy efficient to cook little pieces quickly, but also then you don't have to cut them. So you kind of have a circular influence where the type of food that is cooked allows people to use chopsticks.  and the fact that you have chopsticks, sort of influences the kind of food that you can cook. But at the same time, chopsticks reflect the communal nature of eating food. You will have these dishes that you put in the middle. It's very family style. You kind of go in with your chopsticks, you put it on your rice, and then you eat individually.",Join author Jennifer 8. Lee on a journey to examine how chopsticks spread from the East to the West — and how they're designed to give you the perfect bite every time.,"The video explores the cultural significance of chopsticks in various Asian cuisines. A reporter discusses the different materials used for chopsticks, such as bamboo and plastic, and highlights the unique characteristics of Korean and Chinese chopsticks. The scene transitions to a dining setting where people enjoy a meal, emphasizing the communal aspect of Asian dining, where dishes are shared and served in the center.","['chopsticks', 'asia', 'asian cuisines', 'holding chopsticks', 'wood chopsticks', 'bamboo chopsticks', 'plastic chopsticks', 'korean chopsticks', 'metal chopsticks', 'chinese chopsticks', 'japanese chopsticks', 'communal dining', 'family style meal', 'shared dishes', 'jennifer 8. lee']",high
fca4f2d4-61ae-434a-9a95-1cbd2204dc8d," Social media use is one of the least influential factors shaping youth mental health. Youth who are bullied have double the risk of developing depression. It's a way bigger effect. But an adolescent with high quality friendships, they can spend four or five hours a day online and still have over a 90% chance of great mental health and well-being. If four to five hours a day kind of freaks you out,  That's the current national average for 13 to 19-year-olds. What about families? The good news is they can protect against bad outcomes from even the worst experiences, including bullying. But parent mental health problems more than triple the risk of adolescents developing them to 3.5 times greater risk. I don't say this to blame parents. My point is just that  Parents matter way more than phones. The story we tell about adolescence is they're too anxious, too depressed, obsessed with their phones and full of fomo. Rewind a couple decades, different story equally unflattering. They're too rebellious, party animals, maybe glued to their TVs or tories. We are all in this together. That means  We have to stop doom shaming young people. If we keep saying this generation is being destroyed, how can we expect them to believe in their own potential?","We have to stop doom shaming young people, says neuroscientist Jennifer Pfeifer. In her TEDxPortlandTalk, she breaks down the science of adolescent brains, debunks common misconceptions about their behavior — from social media use to how their hormones affect their sleep — and shares how parents and families can better support young people during this critical period. “It’s time to change the narrative,” she says. “Adolescents, they’re not a problem to be solved. They represent our brightest future.” ","A developmental psychologist discusses the impact of social media on mental health, emphasizing its role in increasing depression risk. She gestures passionately while explaining the challenges faced by youth today, including anxiety and rebellion. The scene shifts to a mother engaging with her child in a nurturing environment, highlighting the importance of parental involvement. The speaker calls for a change in perspective regarding youth behavior, urging the audience to reconsider their views.","['social media use', 'youth mental health', 'bullying', 'depression', 'high quality friendships', 'four to five hours', '13 to 19-year-olds', 'parents matter', 'parent mental health', 'anxiety', 'fomo', 'adolescence', 'doom shaming', 'tedxportland', 'developmental psychologist']",high
db673842-b3d8-46e3-920d-9857f5fec19b," We know that too much time online is not great for our mental health, but it's not just in our heads, it's in our bodies. We need movement to be as much a part of our lives as screens are. We need our schools, our neighborhoods, our workplaces to give us time and space just to move. So how can you start making a change in feeling better?  Well first think about your most sedentary stretches of time and then make yourself a mantra So like if you are a student you could say I'll take an extra lap around the quad before class instead of checking TikTok So I get to class with more oxygen in my brain and I can actually focus or if you work from home You could decide that on long zoom calls I will march in place in order to manage my glucose and avoid the post meaning crash  If you're a parent, you could say, I will take a lap around the soccer field once so that I have enough energy to get through the dinner time chaos. You can have a dance party while you microwave your leftovers. You can walk the concourse instead of sitting and waiting for your flight. A mix of all these habits will keep your muscles firing and your mood steadier. You can help push this reset forward. Take movement breaks.  And when people look at you like you're weird, just tell them why you're doing it. Because you just want to feel a little better.","If you feel drained after sitting in front of a screen all day, you’re not alone. In her TED Talk, NPR’s “TED Radio Hour” host Manoush Zomorodi explains how sedentary stretches of time can take a serious toll on your physical health — and why taking movement breaks throughout the day can help you feel restored, healthier and more productive. “We need movement to be as much a part of our lives as screens are,” she says.","A speaker discusses the negative impacts of prolonged sitting on health, emphasizing the importance of movement in daily life. She shares personal strategies for incorporating movement, such as marching in place, to manage energy levels and glucose. The setting is engaging, with a focus on encouraging the audience to take action and improve their well-being.","['movement breaks', 'sedentary', 'prolonged sitting', 'mental health', 'physical health', 'screens', 'time online', 'march in place', 'glucose', 'zoom calls', 'tiktok', 'dance party', 'walk concourse', 'ted talk', 'how sitting harms health']",high
5c6b3b72-b7d9-4d1e-a3d1-e154ca7a968e," What if everyone in a company had stock ownership, not just to the assistant treasurer level, but to the factory floor, distribution centers? How might employees' lives be impacted? In 2015, we invested in a company called CHI Overhead Doors. Out of 800 employees, only 18 had stock ownership. So that means when we bought the business, most people got nothing and just went back to work and a small handful made many millions of dollars. Employee engagement scores were absolutely dismal.  So day one, all 800 employees were granted stock ownership. So they would participate as the value the company went up through dividends along the way and then at the end when the business was sold. But this was about much more than just stock ownership. Employees were educated about the business. They were kept informed. Once a quarter, we got everyone together and we talked openly about what was working and what was not and where the business was headed. And we shared our financial information transparently.  When the company was sold, we gathered everyone in our main manufacturing plant in central Illinois with our most tenured factory workers earning six and a half times their annual income or a half a million dollars. So this was life impacting amounts of money. This wasn't a gift. It didn't happen by a chance they made it happen and it did change the community. $340 million of wealth was injected into the community and that it's forever changed.","What if you owned shares in the company you work for? According to investment expert Pete Stavros, this is the key to keeping employees happy and motivated. In his #TED2024 talk, he shares how employee stock ownership not only benefited his company, but changed the people who worked there’s lives forever. He explains that this type of wealth creation not only helps workers and their families but uplifts entire communities. Visit the link in bio to watch his moving talk.","A speaker discusses the concept of employee ownership, emphasizing its potential impact on workers' lives and engagement. He shares statistics about stock ownership among employees and highlights the importance of educating them about the business. The scene transitions to a group of engaged individuals in a manufacturing setting, illustrating the connection between ownership and employee involvement. The speaker conveys a message of empowerment and proactive participation in the company's success.","['employee stock ownership', 'stock ownership', 'company shares', 'pete stavros', 'ted2024', 'chi overhead doors', 'employee engagement', 'dividends', 'financial transparency', 'financial information', 'manufacturing plant', 'central illinois', 'factory workers', 'community wealth', '340 million dollars']",high
1b6d3b94-98a8-49c4-b079-f0c451c9853a," AI as a technology is fascinating to us because we're inherently drawn to things we cannot understand. And with neural networks processing data from thousands of other images made by people from every possible generation, every art movement, millions of images in one simple scan.  They can produce visuals that are so familiar yet strikingly unfamiliar. More poetically, AI mirrors us. We are all now collectively co-creating with AI, whether we're aware of it or not.","Will Al rob us of our creativity? Media art curator Eileen Isagon Skyers believes it’ll be the opposite. In her TED Talk, she explores how embracing an Al future could actually stretch the scope of the human imagination and create worlds we could never design alone. “We need to brace ourselves for an increasingly technological future, which is only going to multiply all the creative possibilities at our fingertips now,” she says.","A speaker discusses the fascinating aspects of AI technology, emphasizing its ability to process vast amounts of data and create visuals that reflect human creativity. The presentation includes engaging visuals, showcasing various images and art movements, while the speaker articulates the relationship between AI and human expression, highlighting the collaborative nature of this technology.","['artificial intelligence', 'ai technology', 'neural networks', 'processing data', 'images', 'art movement', 'visuals', 'human imagination', 'co-creating', 'creativity', 'media art curator', 'ted talk', 'speaker on stage', 'stage presentation']",high
0fb2d645-989d-45fb-9526-d6f213f4cf57," It's not if we fight that determines relationship success. It's how we fight. In fact, our research has revealed that some fighting actually increases connection and even improves our sex life. So how do we fight right? We found that there were three major styles of fighting, conflict the voiders who just agreed disagree.  conflict validators would bring up an issue by expressing their feelings calmly and then jumping immediately into problem solving. Then there were the conflict volatoles. They would express their feelings intensely and very passionately. Then they would leap into trying to prove that they were right.  The couples who fight right will bring up the issue with what we call softened startup. Suffend startup consists of a bunch of ice statements that describe you and not your partner at all. You start with what you feel, then you describe the situation at hand and then what you do need from your partner to make things better rather than what you resent, ending this win-lose mentality and leading a couple  to a compromise that honors both people's dreams.","Turns out, arguing with your partner can actually bring you closer. According to the world’s leading relationship scientists Julie and John Gottman, it just depends on how you do it. In their TED Talk, they reveal that the key to a long-term, healthy relationship is fighting to understand — rather than to win. The Gottmans share the habits that turn conflict into connection and explain the 3 major styles of fighting that many couples switch between. “If we can all work on learning how to fight right, even at home, there is hope we can build a more loving and peaceful world, one couple at a time,” says Julie.","In a presentation, two clinical psychologists discuss conflict resolution strategies. One speaker emphasizes the importance of addressing issues directly, while the other elaborates on different styles of conflict engagement. They engage the audience with gestures and expressions, highlighting key concepts about emotional responses and communication in relationships. The setting is a stage with a colorful backdrop, enhancing the focus on their dialogue.","['fighting with partner', 'relationship success', 'conflict resolution', 'connection', 'sex life', 'fight right', 'conflict avoiders', 'conflict validators', 'conflict volatile', 'softened startup', 'i statements', 'problem solving', 'compromise', 'julie gottman', 'john gottman']",high
989f9d47-90f0-4d2c-bcb8-c43445979a94,,"Chances are, you already know or love someone with ADHD, says Jessica McCabe — so it might be helpful to know how their brain works. In her TED Talk, the YouTuber reveals the common misconceptions about attention deficit hyperactivity disorder, and how a better understanding of it can benefit those living with ADHD and the people around them. “Understanding the brain you’re working with, it turns out, is kind of important, and that’s true whether that brain is your employee’s, your student’s, your kid’s, your significant other’s, or your own.”",,"['adhd', 'jessica mccabe', 'ted talk', 'youtuber', 'attention deficit hyperactivity disorder', 'common misconceptions', 'how their brain works', 'understanding the brain', 'living with adhd', 'employees', 'students', 'kids', 'significant other']",medium
2389e116-bd10-447b-a51d-f9380d1290b5,,"Sometimes breaking a bad habit means finding a better one to replace it. In this special episode of the How to Be a Better Human podcast, host Chris Duffy chats with sketchbook cartoonist Edith Zimmerman about her journey to sobriety and how drawing cartoons that put a silly spin on the mundane helped her as she navigated a new way forward. Visit the link in TED’s bio to watch the full episode.",,"['bad habit', 'better habit', 'how to be a better human', 'podcast episode', 'chris duffy', 'edith zimmerman', 'sketchbook cartoonist', 'sobriety', 'stop drinking', 'drawing cartoons', 'cartoon drawing', 'hand-drawn comics', ""i don't drink anymore"", 'asrm massage', 'newsletter']",medium
